universe_id,provider,source_id,member_code,member_name,valid_from,valid_to,as_of_date,weight,rank,member_type
index:CSI300,tushare,000300.SH,603259.SH,,20260506,,20260506,1.0124,15,equity
index:CSI300,tushare,000300.SH,603260.SH,,20260506,,20260506,0.0609,280,equity
index:CSI300,tushare,000300.SH,603288.SH,,20260506,,20260506,0.2427,112,equity
index:CSI300,tushare,000300.SH,603296.SH,,20260506,,20260506,0.1675,166,equity
index:CSI300,tushare,000300.SH,603369.SH,,20260506,,20260506,0.0775,257,equity
index:CSI300,tushare,000300.SH,603392.SH,,20260506,,20260506,0.0568,284,equity
index:CSI300,tushare,000300.SH,603501.SH,,20260506,,20260506,0.3208,89,equity
index:CSI300,tushare,000300.SH,603799.SH,,20260506,,20260506,0.3872,67,equity
index:CSI300,tushare,000300.SH,603893.SH,,20260506,,20260506,0.1434,187,equity
index:CSI300,tushare,000300.SH,603986.SH,,20260506,,20260506,0.8635,24,equity
index:CSI300,tushare,000300.SH,603993.SH,,20260506,,20260506,0.6387,37,equity
index:CSI300,tushare,000300.SH,605117.SH,,20260506,,20260506,0.2172,129,equity
index:CSI300,tushare,000300.SH,605499.SH,,20260506,,20260506,0.1567,175,equity
index:CSI300,tushare,000300.SH,688008.SH,,20260506,,20260506,0.8557,25,equity
index:CSI300,tushare,000300.SH,688009.SH,,20260506,,20260506,0.0493,291,equity
index:CSI300,tushare,000300.SH,688012.SH,,20260506,,20260506,0.6309,39,equity
index:CSI300,tushare,000300.SH,688036.SH,,20260506,,20260506,0.1256,205,equity
index:CSI300,tushare,000300.SH,688041.SH,,20260506,,20260506,1.2025,12,equity
index:CSI300,tushare,000300.SH,688047.SH,,20260506,,20260506,0.1362,195,equity
index:CSI300,tushare,000300.SH,688082.SH,,20260506,,20260506,0.0567,285,equity
index:CSI300,tushare,000300.SH,688111.SH,,20260506,,20260506,0.227,124,equity
index:CSI300,tushare,000300.SH,688126.SH,,20260506,,20260506,0.1607,171,equity
index:CSI300,tushare,000300.SH,688169.SH,,20260506,,20260506,0.0909,244,equity
index:CSI300,tushare,000300.SH,688187.SH,,20260506,,20260506,0.0484,292,equity
index:CSI300,tushare,000300.SH,688223.SH,,20260506,,20260506,0.1008,237,equity
index:CSI300,tushare,000300.SH,688256.SH,,20260506,,20260506,1.4451,9,equity
index:CSI300,tushare,000300.SH,688271.SH,,20260506,,20260506,0.2043,135,equity
index:CSI300,tushare,000300.SH,688303.SH,,20260506,,20260506,0.0538,288,equity
index:CSI300,tushare,000300.SH,688396.SH,,20260506,,20260506,0.1131,218,equity
index:CSI300,tushare,000300.SH,688472.SH,,20260506,,20260506,0.0808,253,equity
index:CSI300,tushare,000300.SH,688506.SH,,20260506,,20260506,0.0841,249,equity
index:CSI300,tushare,000300.SH,688981.SH,,20260506,,20260506,0.9244,19,equity
